Data,Campanha,Segmento,Nome_Email,Assunto,Leads,Taxa_Entrega,Taxa_Abertura,Taxa_Clique
2026-03-18,Expo Cotrijal,Leads frios,[Expo Cotrijal] 16/mar - Base agro,Descubra se sua empresa tem créditos a recuperar,763,95.94,12.84,0.00
2026-03-16,Expo Cotrijal,Leads frios,[Expo Cotrijal] 13/mar | Case Limpando balanço,Case: Limpando balanço na transição,886,94.81,13.81,0.00
2026-03-11,Expo Cotrijal,Leads frios,[Expo Cotrijal] Autoridade,Case RZK (R$10Mi): Limpando balanço na transição,815,88.96,12.00,1.24
2026-03-10,Expo Cotrijal,Leads frios,[Expo Cotrijal] BASE DO AGRO - Convite Cristiano,Webinar exclusivo: A virada regulatória da década está chegando!,824,91.63,13.51,0.00
2026-03-02,Expo Cotrijal,Leads frios,[Expo Cotrijal] 02/mar | Diesel e Frete,Diesel e Frete: Onde sua safra está perdendo créditos?,829,91.31,11.10,0.13
2026-03-31,Intermodal,Leads frios,[Intermodal] Diesel - Leads Intermodal,Descubra como blindar sua operação contra a volatilidade do diesel,55,89.09,10.20,2.04
2026-03-25,Intermodal,Leads frios,[Intermodal] Diesel | Base app intermodal,Visite nosso estande e recupere o fôlego financeiro da sua frota,26,73.08,26.32,0.00
2026-03-25,Intermodal,Leads frios,[Intermodal] Diesel | Lead frio - RS,A alta do diesel está corroendo sua margem?,601,96.01,14.21,0.00
2026-03-25,Intermodal,Leads frios,[Intermodal] Diesel | Lead frio - transporte SP,A alta do diesel está corroendo sua margem?,2259,75.58,18.27,0.12
2026-03-23,Webinar,Leads frios,[WEBINAR] PÓS-WEBINAR - lista fria,O que você precisa fazer HOJE para não perder dinheiro com a Reforma,1925,92.68,12.28,0.11
2026-03-18,Webinar,Leads frios,[WEBINAR] Começa em instantes - Envio A,HOJE: Começa em instantes - Sua última chamada para a Reforma 2026,1,100.00,100.00,100.00
2026-03-18,Webinar,Leads frios,[WEBINAR] Começa em instantes - Envio B,HOJE: Começa em instantes - Sua última chamada para a Reforma 2026,104,94.23,11.22,3.06
2026-03-16,Webinar,Leads frios,[WEBINAR] Faltam 3 dias - LISTA FRIA,Faltam 3 dias | O plano de contingência para 2027,1021,94.61,14.18,0.00
2026-03-16,Webinar,Leads frios,[WEBINAR] Faltam 3 dias,Faltam 3 dias | O plano de contingência para 2027,1372,94.24,18.72,0.85
2026-03-02,Webinar,Leads frios,[WEBINAR] Lista nova leads,Participe do webinar exclusivo em 18/03,7,100.00,14.29,0.00
2026-03-02,Webinar,Leads frios,[WEBINAR] Lista Fria,O erro invisível de 2026 que cobrará o preço em 2027,1462,98.63,10.47,0.35
2026-03-09,Webinar,Base RD,[WEBINAR] CLICARAM em EMM antigos,O erro invisível de 2026 que cobrará o preço em 2027,126,88.10,17.12,0.90
2026-03-02,Webinar,Base RD,[WEBINAR] Clientes/Colaboradores,O erro invisível de 2026 que cobrará o preço em 2027,1005,98.81,20.95,0.70
2026-03-02,Webinar,Base RD,[WEBINAR] Base RD,O erro invisível de 2026 que cobrará o preço em 2027,301,98.34,11.15,2.03
2026-03-10,Webinar,Base RD,[WEBINAR] Base RD Convite Cristiano,Webinar exclusivo: Como financiar investimentos e ganhar fôlego no caixa,3354,91.83,32.46,0.55
2026-03-23,Auditoria de Folha,Clientes VML,[CRM] Auditoria de folha - Base vml,Folha de Pagamento sem ruídos e perdas. Conheça nossa auditoria!,279,97.13,20.66,0.00
